city,state_slug,region,ranking,GDP,region_participation,region_participation_accumulated
São Paulo (SP),SP,Sudeste,1º,763805984.798037,10.336885146548843,10.336885146548843
Rio de Janeiro (RJ),RJ,Sudeste,2º,354981483.80318886,4.804103267396239,15.140988413945081
Brasília (DF),DF,Centro-Oeste,3º,273613711.4765501,3.702921378394154,18.843909792339236
Belo Horizonte (MG),MG,Sudeste,4º,97205324.54430337,1.315517677847412,20.15942747018665
Curitiba (PR),PR,Sul,5º,96088148.8930441,1.300398502788,21.45982597297465
Manaus (AM),AM,Norte,6º,84867423.37470977,1.1485440354854943,22.60837000846014
Porto Alegre (RS),RS,Sul,7º,82431477.59054267,1.1155774283950652,23.723947436855205
Osasco (SP),SP,Sudeste,8º,81923606.46293017,1.1087042097769015,24.832651646632108
Fortaleza (CE),CE,Nordeste,9º,67412733.42303419,0.9123228891602287,25.744974535792338
Campinas (SP),SP,Sudeste,10º,65874912.95611939,0.8915109632799758,26.636485499072315
Guarulhos (SP),SP,Sudeste,11º,65165261.62058194,0.8819069741838634,27.518392473256178
Salvador (BA),BA,Nordeste,12º,63804120.22743949,0.8634861153150406,28.38187858857122
Recife (PE),PE,Nordeste,13º,54691223.45473439,0.7401577188810744,29.122036307452294
Goiânia (GO),GO,Centro-Oeste,14º,52914393.60502873,0.7161111855376318,29.838147492989926
Barueri (SP),SP,Sudeste,15º,52820507.83980502,0.714840592754479,30.552988085744403
São Bernardo do Campo (SP),SP,Sudeste,16º,51066927.746801764,0.6911087074623755,31.24409679320678
Jundiaí (SP),SP,Sudeste,17º,46952323.247026585,0.6354241553848013,31.87952094859158
Niterói (RJ),RJ,Sudeste,18º,46553203.14480428,0.630022706930006,32.50954365552158
Duque de Caxias (RJ),RJ,Sudeste,19º,45332366.15603099,0.6135006424440294,33.12304429796561
São José dos Campos (SP),SP,Sudeste,20º,43457370.43976764,0.5881255920319667,33.71116988999758
Uberlândia (MG),MG,Sudeste,21º,37628200.6787665,0.5092371576409519,34.22040704763853
Maricá (RJ),RJ,Sudeste,22º,37522727.460363105,0.5078097473216141,34.72821679496015
Paulínia (SP),SP,Sudeste,23º,37374075.51977834,0.5057979824661153,35.23401477742626
Sorocaba (SP),SP,Sudeste,24º,37283417.564195335,0.5045710728933522,35.738585850319616
Ribeirão Preto (SP),SP,Sudeste,25º,35355226.78875511,0.47847611293878894,36.2170619632584
Joinville (SC),SC,Sul,26º,34528619.18313638,0.46728930889351317,36.684351272151915
Belém (PA),PA,Norte,27º,32405322.901894543,0.4385539098155724,37.12290518196749
São Luís (MA),MA,Nordeste,28º,32103746.49070975,0.43447255828472536,37.557377740252214
Contagem (MG),MG,Sudeste,29º,30441139.662536573,0.4119718497687554,37.96934959002097
Santo André (SP),SP,Sudeste,30º,30339076.38022708,0.4105905874483352,38.3799401774693
Campo Grande (MS),MS,Centro-Oeste,31º,30234895.828506976,0.4091806712928346,38.78912084876214
São José dos Pinhais (PR),PR,Sul,32º,29962690.512497682,0.4054968102811771,39.19461765904332
Campos dos Goytacazes (RJ),RJ,Sudeste,33º,29097630.748964835,0.39378961814271257,39.58840727718603
