Region_Size,state_slugs,nº_cities,applied_incentives,iptu_reduction,iptu_exemption,issqn_reduction,issqn_exemption,fee_exemption,property_cession,property_donation,other_incentives,industrial,commerce_services,turism_sports_leisure,cropping_livestock,other_sectors,2018_industrial,2018_commerce_services,2018_turism_sports_leisure,2018_cropping_livestock,2018_other_sectors,no_sector
Brasil,Brasil,5570.0,3484,1022,1292,844,581,1404,1393,1185,858,2420,2299,728,870,616,1355,1498,310,489,365,1008
Até 5 000,,1253.0,708,145,184,101,96,237,349,233,184,486,433,121,207,100,260,249,55,140,47,236
De 5 001 a 10 000,,1199.0,645,151,193,112,87,232,262,210,167,426,410,118,168,98,214,267,49,88,51,204
De 10 001 a 20 000,,1345.0,797,218,258,171,108,320,306,273,186,519,512,142,171,138,284,338,61,100,87,237
De 20 001 a 50 000,,1100.0,764,244,311,210,138,321,277,282,186,536,519,190,203,146,298,331,68,102,93,216
De 50 001 a 100 000,,349.0,288,119,153,99,59,136,115,107,66,234,204,72,67,58,156,147,31,35,37,69
De 100 001 a 500 000,,276.0,235,113,162,117,74,133,72,73,56,191,184,68,48,56,127,135,38,20,37,40
Mais de 500 000,,48.0,47,32,31,34,19,25,12,7,13,28,37,17,6,20,16,31,8,4,13,6
Norte,Norte,450.0,286,85,91,61,28,110,91,96,61,117,204,79,72,64,56,157,35,36,37,72
Até 5 000,,76.0,40,9,12,5,5,14,12,18,3,13,25,8,5,9,5,20,5,3,3,10
De 5 001 a 10 000,,78.0,43,9,16,4,2,12,19,14,8,15,23,10,9,9,5,17,4,4,4,16
De 10 001 a 20 000,,107.0,70,20,17,14,6,31,19,20,15,24,51,23,16,15,15,37,11,9,6,16
De 20 001 a 50 000,,115.0,79,22,24,18,10,30,23,21,22,33,63,23,28,13,13,48,10,15,14,18
De 50 001 a 100 000,,44.0,30,12,10,9,1,12,10,14,6,16,24,8,7,9,9,19,1,2,5,8
De 100 001 a 500 000,,25.0,19,10,8,8,3,9,7,8,6,14,14,5,6,7,8,12,3,3,3,4
Mais de 500 000,,5.0,5,3,4,3,1,2,1,1,1,2,4,2,1,2,1,4,1,0,2,0
Nordeste,Nordeste,1794.0,965,382,327,326,152,417,232,300,183,483,676,214,205,194,214,454,101,106,112,305
Até 5 000,,228.0,93,39,21,31,17,35,25,23,12,37,71,17,18,15,9,34,6,4,6,48
De 5 001 a 10 000,,368.0,171,59,48,45,20,69,38,43,26,58,124,32,36,26,21,87,18,18,18,50
De 10 001 a 20 000,,565.0,270,102,93,74,35,114,54,82,52,118,183,54,55,55,50,128,28,36,33,83
De 20 001 a 50 000,,449.0,278,107,85,93,42,118,74,94,59,155,188,67,68,65,71,125,24,32,35,85
De 50 001 a 100 000,,121.0,96,42,44,42,22,46,24,36,21,73,64,21,19,21,37,44,12,11,13,29
