Region_Size,state_slugs,nº_cities,registered,computerized,geo_referenced,public_access,update_1_year_or_less,update_1_year_or_less,update_on_demand,properties,residential_properties,non_residential,with_iptu,value_plant,value_plant_informatized,value_plant_last_10_years,isqn,issqn_informatized
Brasil,Brasil,5570.0,5203,4458,1161,1924,1160,2021,2917,78979802,50480592,20151376,5268,4504,3114,2636,5406,4918
Até 5 000,,1253.0,1169,987,161,316,254,415,644,1403727,868857,303304,1185,993,653,567,1213,1059
De 5 001 a 10 000,,1199.0,1091,908,187,393,251,391,585,3425644,1820912,1118520,1109,913,600,535,1159,1030
De 10 001 a 20 000,,1345.0,1234,1038,245,443,245,529,670,6046223,3362723,1461849,1255,1030,706,587,1292,1168
De 20 001 a 50 000,,1100.0,1041,913,264,448,215,452,580,12867351,7685818,3152975,1051,935,658,579,1071,1000
De 50 001 a 100 000,,349.0,345,310,129,176,84,137,220,10304492,5722944,2864021,345,317,250,184,348,341
De 100 001 a 500 000,,276.0,275,254,135,122,93,81,186,22280823,14147026,5613040,275,268,203,154,275,273
Mais de 500 000,,48.0,48,48,40,26,18,16,32,22651542,16872312,5637667,48,48,44,30,48,47
Norte,Norte,450.0,392,293,84,170,90,124,215,5381855,3856086,1006578,393,365,227,220,433,364
Até 5 000,,76.0,66,45,10,31,9,14,44,57105,24668,5625,68,63,33,44,75,58
De 5 001 a 10 000,,78.0,69,53,16,23,19,16,37,116522,69980,20678,66,63,35,45,78,64
De 10 001 a 20 000,,107.0,84,55,15,40,21,27,40,234998,131304,47426,87,79,56,49,100,87
De 20 001 a 50 000,,115.0,101,75,17,43,24,37,52,1883869,1611721,151627,99,93,49,44,107,87
De 50 001 a 100 000,,44.0,43,40,15,20,12,17,22,660117,362056,190411,44,40,34,26,44,41
De 100 001 a 500 000,,25.0,24,20,8,11,4,11,16,1014172,637529,336130,24,22,15,11,24,22
Mais de 500 000,,5.0,5,5,3,2,1,2,4,1415072,1018828,254681,5,5,5,1,5,5
Nordeste,Nordeste,1794.0,1507,1215,247,556,310,633,823,17291103,10072140,4596235,1562,1143,763,668,1675,1432
Até 5 000,,228.0,165,120,25,54,38,69,77,161702,99747,27899,175,112,62,65,205,162
De 5 001 a 10 000,,368.0,279,208,36,92,55,97,152,1214174,553704,544137,294,189,112,99,336,268
De 10 001 a 20 000,,565.0,478,382,76,158,95,209,256,1540504,840486,277462,496,352,231,195,521,432
De 20 001 a 50 000,,449.0,404,345,58,161,71,188,229,3214583,1504651,736271,417,327,227,211,430,389
De 50 001 a 100 000,,121.0,118,103,28,61,31,46,66,2759643,1285824,876379,117,102,79,61,120,118
De 100 001 a 500 000,,52.0,52,46,16,26,16,19,35,3909592,2302595,1128315,52,50,41,32,52,52
Mais de 500 000,,11.0,11,11,8,4,4,5,8,4490905,3485133,1005772,11,11,11,5,11,11
Sudeste,Sudeste,1668.0,1655,1481,411,570,381,588,972,34260609,23194320,8128914,1662,1444,979,794,1654,1575
Até 5 000,,375.0,370,321,49,93,63,123,226,517852,352281,107361,374,301,194,155,369,334
De 5 001 a 10 000,,385.0,378,329,68,133,85,123,213,1056056,614214,269966,382,321,208,191,380,355
De 10 001 a 20 000,,359.0,358,322,69,119,73,149,195,2250437,1194913,502993,358,300,199,158,358,347
De 20 001 a 50 000,,289.0,289,267,86,115,74,113,160,4020629,2388245,1114823,288,269,188,153,287,281
De 50 001 a 100 000,,106.0,106,96,47,49,27,42,77,3854263,2336179,992759,106,100,81,51,106,104
De 100 001 a 500 000,,133.0,133,125,73,48,51,32,90,11470711,7545207,2813632,133,132,92,71,133,133
Mais de 500 000,,21.0,21,21,19,13,8,6,11,11090661,8763281,2327380,21,21,17,15,21,21
Sul,Sul,1191.0,1189,1063,304,406,267,499,677,14145750,9514311,3735965,1191,1129,825,626,1181,1111
Até 5 000,,439.0,437,391,62,91,114,161,231,471791,281268,124103,439,407,299,234,432,389
De 5 001 a 10 000,,259.0,259,223,47,92,63,117,133,672906,405833,189481,259,242,172,131,256,241
De 10 001 a 20 000,,221.0,221,198,63,86,37,105,133,1492092,911728,476950,221,212,145,110,221,213
De 20 001 a 50 000,,161.0,161,149,70,78,26,75,102,2633700,1598088,833271,161,161,126,96,161,158
De 50 001 a 100 000,,58.0,58,51,31,32,9,26,41,2100222,1341031,585762,58,55,40,28,58,58
De 100 001 a 500 000,,47.0,47,45,26,24,16,13,31,4222573,2992285,958010,47,46,37,23,47,47
Mais de 500 000,,6.0,6,6,5,3,2,2,6,2552466,1984078,568388,6,6,6,4,6,5
Centro-Oeste,Centro-Oeste,467.0,460,406,115,222,112,177,230,7900485,3843735,2683684,460,423,320,328,463,436
Até 5 000,,135.0,131,110,15,47,30,48,66,195277,110893,38316,129,110,65,69,132,116
De 5 001 a 10 000,,109.0,106,95,20,53,29,38,50,365986,177181,94258,108,98,73,69,109,102
De 10 001 a 20 000,,93.0,93,81,22,40,19,39,46,528192,284292,157018,93,87,75,75,92,89
De 20 001 a 50 000,,86.0,86,77,33,51,20,39,37,1114570,583113,316983,86,85,68,75,86,85
De 50 001 a 100 000,,20.0,20,20,8,14,5,6,14,930247,397854,218710,20,20,16,18,20,20
De 100 001 a 500 000,,19.0,19,18,12,13,6,6,14,1663775,669410,376953,19,18,18,17,19,19
Mais de 500 000,,5.0,5,5,5,4,3,1,3,3102438,1620992,1481446,5,5,5,5,5,5
