Region_Size,state_slugs,nº_cities,applied_restrictions,legislation,taxation,other_mechanisms,industry,extractive_industry,commerce_services,turism_sports_leisure,environmental_impact_industries,other,2018_industry,2018_extractive_industry,2018_commerce_services,2018_turism_sports_leisure,2018_environmental_impact_industries,2018_other,2018_no_enterprise
Brasil,Brasil,5570.0,1727,1521,327,183,806,614,679,262,1357,221,348,215,409,93,646,127,807
Até 5 000,,1253.0,258,223,51,26,109,73,85,27,187,30,22,13,30,4,67,12,152
De 5 001 a 10 000,,1199.0,285,237,61,34,119,90,99,33,211,31,39,20,52,8,77,9,156
De 10 001 a 20 000,,1345.0,378,322,90,49,159,126,140,48,286,43,56,44,84,13,128,18,182
De 20 001 a 50 000,,1100.0,436,391,87,48,205,170,180,66,356,52,97,63,116,17,175,34,196
De 50 001 a 100 000,,349.0,171,155,25,15,89,66,71,35,143,22,53,27,49,17,77,18,67
De 100 001 a 500 000,,276.0,170,164,11,10,110,75,88,46,149,34,70,40,67,28,101,28,48
Mais de 500 000,,48.0,29,29,2,1,15,14,16,7,25,9,11,8,11,6,21,8,6
Norte,Norte,450.0,127,105,43,19,49,37,66,26,86,17,19,19,47,9,57,15,40
Até 5 000,,76.0,14,11,3,2,5,4,9,4,9,2,0,0,3,1,2,0,9
De 5 001 a 10 000,,78.0,9,8,4,2,4,3,5,2,4,2,2,2,3,1,3,1,3
De 10 001 a 20 000,,107.0,26,20,12,2,10,6,12,6,14,1,2,3,8,1,10,1,7
De 20 001 a 50 000,,115.0,48,38,18,10,17,13,28,8,32,6,9,8,22,2,24,6,11
De 50 001 a 100 000,,44.0,18,16,3,2,6,5,5,2,15,3,1,1,5,1,9,1,7
De 100 001 a 500 000,,25.0,9,9,2,1,5,4,4,2,9,2,3,3,3,1,6,3,3
Mais de 500 000,,5.0,3,3,1,0,2,2,3,2,3,1,2,2,3,2,3,3,0
Nordeste,Nordeste,1794.0,458,369,133,55,164,155,179,67,361,44,60,58,111,27,159,28,223
Até 5 000,,228.0,36,26,10,6,11,11,18,7,26,2,1,2,5,2,8,0,23
De 5 001 a 10 000,,368.0,66,47,25,6,17,19,23,6,46,7,5,5,17,1,17,3,32
De 10 001 a 20 000,,565.0,117,89,48,18,33,39,47,18,90,14,9,14,31,6,36,5,59
De 20 001 a 50 000,,449.0,149,127,37,17,56,55,55,16,124,10,19,21,35,6,60,13,70
De 50 001 a 100 000,,121.0,53,48,8,5,24,16,19,8,42,3,15,8,13,4,19,2,24
De 100 001 a 500 000,,52.0,32,27,5,3,21,14,16,12,29,5,10,7,9,8,15,4,14
Mais de 500 000,,11.0,5,5,0,0,2,1,1,0,4,3,1,1,1,0,4,1,1
Sudeste,Sudeste,1668.0,545,485,70,64,275,221,210,87,426,86,126,74,122,28,208,46,249
Até 5 000,,375.0,67,57,11,6,22,20,15,6,47,10,4,6,9,1,17,9,35
De 5 001 a 10 000,,385.0,88,73,18,11,38,32,34,12,63,11,13,7,15,2,21,2,51
De 10 001 a 20 000,,359.0,110,93,16,21,48,43,34,11,80,17,17,18,15,3,39,5,52
De 20 001 a 50 000,,289.0,109,99,12,15,61,47,40,15,86,16,24,12,20,1,35,4,64
De 50 001 a 100 000,,106.0,68,61,10,5,38,31,30,16,60,11,23,10,20,6,32,10,24
De 100 001 a 500 000,,133.0,89,88,3,5,60,40,49,24,78,17,39,17,37,12,55,13,20
Mais de 500 000,,21.0,14,14,0,1,8,8,8,3,12,4,6,4,6,3,9,3,3
Sul,Sul,1191.0,476,453,63,33,275,172,190,68,388,65,126,54,109,23,179,34,228
Até 5 000,,439.0,125,114,23,12,69,34,42,10,93,16,17,4,13,0,35,3,74
De 5 001 a 10 000,,259.0,93,86,11,8,46,29,31,10,74,10,15,4,15,2,27,3,51
De 10 001 a 20 000,,221.0,100,98,9,6,60,35,39,11,82,8,28,9,25,3,35,5,50
De 20 001 a 50 000,,161.0,96,95,15,5,60,45,47,22,86,16,38,17,33,6,47,10,31
De 50 001 a 100 000,,58.0,29,27,3,2,18,13,14,8,23,5,11,8,9,6,15,5,12
De 100 001 a 500 000,,47.0,30,30,1,0,21,15,16,7,27,10,17,12,14,6,19,8,8
Mais de 500 000,,6.0,3,3,1,0,1,1,1,0,3,0,0,0,0,0,1,0,2
Centro-Oeste,Centro-Oeste,467.0,121,109,18,12,43,29,34,14,96,9,17,10,20,6,43,4,67
Até 5 000,,135.0,16,15,4,0,2,4,1,0,12,0,0,1,0,0,5,0,11
De 5 001 a 10 000,,109.0,29,23,3,7,14,7,6,3,24,1,4,2,2,2,9,0,19
De 10 001 a 20 000,,93.0,25,22,5,2,8,3,8,2,20,3,0,0,5,0,8,2,14
De 20 001 a 50 000,,86.0,34,32,5,1,11,10,10,5,28,4,7,5,6,2,9,1,20
De 50 001 a 100 000,,20.0,3,3,1,1,3,1,3,1,3,0,3,0,2,0,2,0,0
De 100 001 a 500 000,,19.0,10,10,0,1,3,2,3,1,6,0,1,1,4,1,6,0,3
Mais de 500 000,,5.0,4,4,0,0,2,2,3,2,3,1,2,1,1,1,4,1,0
