Region_Size,state_slugs,nº_cities,light,trash,fire,cleaning,police,other,no_tax
Brasil,Brasil,5570.0,4224,2844,137,1941,2617,1310,376
Norte,Norte,450.0,326,158,10,117,161,82,62
Rondônia,RO,52.0,45,43,3,25,30,9,1
Acre,AC,22.0,20,17,2,14,9,9,0
Amazonas,AM,62.0,37,14,1,13,16,6,17
Roraima,RR,15.0,13,8,0,6,6,0,2
Pará,PA,144.0,123,53,3,43,42,30,6
Amapá,AP,16.0,3,3,0,3,16,14,0
Tocantins,TO,139.0,85,20,1,13,42,14,36
Nordeste,Nordeste,1794.0,1376,378,7,343,741,401,176
Maranhão,MA,217.0,195,12,1,10,48,32,17
Piauí,PI,224.0,199,34,1,32,73,50,15
Ceará,CE,184.0,158,5,0,7,142,51,8
Rio Grande do Norte,RN,167.0,129,67,0,53,50,27,23
Paraíba,PB,223.0,136,45,2,34,87,53,34
Pernambuco,PE,185.0,163,114,3,111,76,53,5
Alagoas,AL,102.0,75,44,0,38,15,25,9
Sergipe,SE,75.0,51,9,0,6,51,16,8
Bahia,BA,417.0,270,48,0,52,199,94,57
Sudeste,Sudeste,1668.0,1207,1040,35,822,809,465,73
Minas Gerais,MG,853.0,658,526,8,464,419,285,34
Espírito Santo,ES,78.0,70,63,0,35,42,23,1
Rio de Janeiro,RJ,92.0,77,69,4,41,57,31,0
São Paulo,SP,645.0,402,382,23,282,291,126,38
Sul,Sul,1191.0,965,1081,76,515,701,276,11
Paraná,PR,399.0,370,366,32,223,223,92,2
Santa Catarina,SC,295.0,242,269,32,121,194,90,0
Rio Grande do Sul,RS,497.0,353,446,12,171,284,94,9
Centro-Oeste,Centro-Oeste,467.0,350,187,9,144,205,86,54
Mato Grosso do Sul,MS,79.0,72,49,2,38,45,15,0
Mato Grosso,MT,141.0,115,84,3,56,84,31,6
Goiás,GO,246.0,162,53,3,49,75,39,48
Distrito Federal,DF,1.0,1,1,1,1,1,1,0
