state,state_slug,region,(%) 2002,(%) 2003,(%) 2004,(%) 2005,(%) 2006,(%) 2007,(%) 2008,(%) 2009,(%) 2010,(%) 2011,(%) 2012,(%) 2013,(%) 2014,(%) 2015,(%) 2016,(%) 2017,(%) 2018,(%) 2019,participation_state_cities,participation_population,state_only
Rondônia (52 municípios),RO,Norte,58.323313722372745,56.10373249940713,57.23912481517674,57.36254441235721,57.86498651863423,57.958836316488046,57.30594290358117,60.055025537310655,62.52145061587166,63.81883706660107,63.64063999970871,62.076644786302765,62.15254472829275,62.204006833826035,61.556725630363886,61.88776904720315,61.19253742452736,62.35900931517342,9.615384615384617,53.54352994134114,Rondônia
Acre (22 municípios),AC,Norte,80.06775667211971,78.8542107287731,79.9604435787005,79.97924361012596,80.04737489375805,79.7139165919192,79.88661198696994,80.39530744245535,78.99331282783663,78.77488432304601,78.83161188293765,76.99751539869149,78.25630836273471,77.57235385459343,75.73501132350067,76.00633247927547,76.71305267092794,77.17665480040586,22.727272727272727,69.21008917890775,Acre
Amazonas (62 municípios),AM,Norte,88.1189014089059,89.04753482764166,90.36947817156363,90.00003929180899,89.90964676802051,90.13803637395345,90.15204516806045,89.63468637243346,89.10248363255751,87.08071423909702,86.84008518024757,86.77747752576198,85.79268076339352,84.86307125528752,84.95107610289531,84.8844157139945,84.51616388074264,84.80452297530915,8.064516129032258,62.270155578455515,Amazonas
Roraima (15 municípios),RR,Norte,87.46615653615325,87.2360813114961,86.79772639314315,87.01447818480734,87.75544623749818,87.0370547346863,86.92841281330682,87.61153572692913,87.68191002638433,87.14089604934411,86.84554858104956,86.22083518249246,86.85651911237463,86.18999610293706,85.90820507928782,85.93513326429904,86.22010082084397,85.48861499269904,33.33333333333333,79.49735951967855,Roraima
Pará (144 municípios),PA,Norte,49.287934270614265,47.96057425891757,49.22015778575323,48.67296106456245,49.744595723079485,49.103697377643634,51.42567538585681,50.7588778466757,53.1072232497855,54.54598674756855,54.148277509329134,50.84209986209867,48.38846692365757,45.409604551712505,44.40924129627199,45.561193834447764,44.16375196804567,48.064053085481326,3.4722222222222223,29.618621238389768,Pará
Amapá (16 municípios),AP,Norte,91.72348759344742,90.3356097526366,90.98074514051427,90.27748850557705,90.94440972552032,89.21582478296979,89.65121296905123,90.00127986423168,88.99813113158586,88.58816356191117,88.9867407533808,88.4168265325725,88.80111364596132,88.39168536958562,87.7125327590402,88.17681137095812,88.60766199126017,88.50757134176662,31.25,83.96889791198385,Amapá
Tocantins (139 municípios),TO,Norte,52.29185737945174,47.98833352774489,47.569297530751186,50.11140583393753,51.968420152294385,49.476973858495505,49.0647759161336,49.06037516179081,51.43726574105068,49.875043406523304,50.37841934576249,50.69466352885815,50.83817403783432,52.06270466400549,52.82048716313561,52.68400332775917,52.9612938950616,52.70874259535071,3.597122302158273,42.629569206785575,Tocantins
Maranhão (217 municípios),MA,Nordeste,52.099004485447125,51.221274379734666,52.997065606055926,54.411804009807184,55.70509691340887,53.04315166719157,51.52725846875045,50.72142526339425,53.171688087472525,51.70283570557743,52.427706500188066,50.379649650908775,51.180143482686645,49.906440678567684,48.80021229755682,48.81484119288821,49.89580138542915,48.84708915904831,2.3041474654377883,24.671948321887456,Maranhão
Piauí (224 municípios),PI,Nordeste,60.20697487470517,58.58455683283102,57.158401567872545,58.66132851353431,61.5554391881578,58.293368915925,56.78926965163372,57.818617666674896,59.52478060775024,58.843251445395275,59.22562101958224,59.689760350346255,59.66367487513482,57.76196041525411,58.6083368456833,54.804528032853426,54.82138643948473,54.90729539147958,2.232142857142857,35.977889709451865,Piauí
Ceará (184 municípios),CE,Nordeste,61.07998871559547,60.62320968740343,61.109488949653844,61.38928176683916,60.881817131725555,61.90158823851692,60.81090850636579,62.222907791188035,61.82459671577026,61.129060787691344,62.66464381593982,61.861890718280726,60.59130721735267,60.28225021910124,59.21026001001666,57.38187482429001,58.59851258994558,57.18110662951576,2.717391304347826,40.97391634193225,Ceará
Rio Grande do Norte (167 municípios),RN,Nordeste,60.409557301609084,59.68770503704434,59.94981681908391,60.07457749722094,59.33759297019804,60.03914683751898,60.29831064853085,62.40551688875343,62.4275405784304,61.596528813461816,61.284377801282666,61.538082824722224,60.591242825657204,60.084606033555346,60.54344032649504,58.710276454498356,57.82383068457577,57.17958147890564,2.9940119760479043,43.89747731085392,Rio Grande do Norte
Paraíba (223 municípios),PB,Nordeste,56.37921190648022,55.732818545613135,55.49243267313107,55.33013713413919,56.2186081068354,57.20212566585934,57.415831004135015,57.446665492606236,58.10167169241459,57.643544808702195,58.789986475469846,57.501902627389406,57.9802449241961,57.50529283742631,56.38186829716581,56.44752179794455,55.601348260941734,55.5441176999951,2.242152466367713,38.0941916470037,Paraíba
Pernambuco (185 municípios),PE,Nordeste,58.746758815453695,57.5764877183792,57.775493082662024,57.03296532877404,55.92476817081316,56.30674494089446,55.35069244639367,56.0360328978105,55.832197639985836,55.885619083076406,56.04466641811636,56.379192633807406,54.98756366552775,53.4629145451011,53.03076002791153,52.56161084871026,51.683180569084485,51.26469229332563,2.7027027027027026,28.57606687237125,Pernambuco
Alagoas (102 municípios),AL,Nordeste,54.07107884191666,56.27866977788694,57.09788847417157,56.760394445814015,58.78611174214704,59.72506507855871,58.55805079816063,59.712014821219476,61.86861715303149,61.71598998274691,61.535122659617684,61.4232057914258,61.36638700447616,61.22041683216266,59.21038779328286,57.26166153639338,57.25972883767486,56.59185758191496,4.901960784313726,42.987579692553126,Alagoas
Sergipe (75 municípios),SE,Nordeste,61.78149940963675,59.8626213443727,60.265689173960496,59.07675118127386,56.10714222331804,57.1446653572231,55.14448438191809,55.14088320101135,57.82771142813655,57.831992584788544,58.75615008613506,58.505358435833564,58.479988450774414,58.81192570894372,60.38243006986952,59.066898899064164,60.87682925750491,60.16889284604689,6.666666666666667,45.032139961090984,Sergipe
Bahia (417 municípios),BA,Nordeste,43.431614858889496,43.68621203932385,43.67989035030071,45.052805132876955,44.0611670317615,44.29244572282567,43.31457726530103,45.90477898303498,44.91964408131818,43.63728229243725,42.479944141591936,43.55710946311524,43.40463128562405,42.71666884027686,44.16338319091246,43.212685617124635,41.20733989971723,41.12458659464517,1.1990407673860912,28.001177161612432,Bahia
Minas Gerais (853 municípios),MG,Sudeste,37.00671972276464,36.707376933530206,34.97770997268657,35.47781569769134,36.50008675303876,37.42965047934463,37.09240085509741,39.403281043377554,37.19310929149461,34.5930773747192,34.74072856677794,34.32506393173907,34.51867631726132,34.88168972849813,34.34635994515553,33.18314538116599,32.51077001578224,32.52726838619204,0.5861664712778429,23.031277506589774,Minas Gerais
Espírito Santo (78 municípios),ES,Sudeste,64.61365950058112,64.4181110852662,65.61485514049788,64.30023512009275,65.0425490524366,64.56025975235335,63.005525560789614,63.03198041013664,60.72783400501121,56.5711640291561,54.82322773420303,53.42835659254318,54.07851099257751,54.72162377810562,58.37236238582398,55.81234911804145,57.56626266238412,55.96837636398831,6.41025641025641,47.983402386373534,Espírito Santo
Rio de Janeiro (92 municípios),RJ,Sudeste,68.06402445765615,67.49973022612724,67.5343879958346,67.90903939648472,67.74993842092572,67.4827144966956,65.61133729723204,67.1236669664007,65.83118901370855,64.8916529847331,64.21221451879488,64.72323082272987,64.55284827269347,65.96603846647315,66.80889094171775,66.17111726544083,66.50549531830289,65.83780373345712,5.434782608695652,51.091034589572644,Rio de Janeiro
São Paulo (645 municípios),SP,Sudeste,47.1484289229214,46.003327165159604,45.33806563924142,45.95613114748762,46.23327409316658,46.372766129272236,46.25775045246038,46.501365909250595,47.14741861184009,47.315281517697045,46.50972111309994,45.90703428814685,45.065904257226876,45.243788398603435,44.96302426645937,44.263501427406894,43.63358733279864,43.843359582404936,0.7751937984496124,34.425534378989425,São Paulo
Paraná (399 municípios),PR,Sul,42.56757162225965,40.98802498892572,41.83090585806127,43.096502370553424,44.350990602648494,44.38110262674907,44.21663543891015,44.951788337874454,46.061366827003944,45.46654206299203,44.82053014180401,43.492715819459725,42.02282961585202,40.80570957983697,38.68423204618018,38.066184262121936,37.75915823290157,39.81048531607534,1.2531328320802004,29.680774556000166,Paraná
Santa Catarina (295 municípios),SC,Sul,34.352168540182035,34.098716390134825,34.54007670231453,35.51845076138195,35.9879791910373,36.19598816538594,36.13071437994354,35.329645018652386,35.7870661426966,35.167471191862006,34.903596357727224,34.207081955533,34.93280852139446,35.09800799610648,34.45955628067499,34.2581015944262,35.18426423078097,35.04641519681168,1.694915254237288,26.724586966146102,Santa Catarina
Rio Grande do Sul (497 municípios),RS,Sul,34.76569655220042,33.32001350028715,34.69223765020685,37.648790361350045,35.95208105047333,36.24203210349681,35.06093487212349,36.15658261214553,35.18377398303973,34.66531782492156,34.45356472943417,32.76543216028452,32.21584902332106,32.164225469663954,32.466935171645595,32.025291236414596,31.51956189163912,31.74515263136315,1.0060362173038229,24.907774197237135,Rio Grande do Sul
Mato Grosso do Sul (79 municípios),MS,Centro-Oeste,52.07422127308841,50.15138125744488,51.03434622795435,52.80796296187217,53.84304783197362,53.54547510659351,52.690202387597736,54.11408949570209,55.2279984489427,54.90633419508359,54.500337947870605,53.8965702074301,54.73585348515829,53.39515868588282,51.938540944379326,52.92720754354383,51.72604481984203,52.418077632950215,6.329113924050633,51.97147448745693,Mato Grosso do Sul
Mato Grosso (141 municípios),MT,Centro-Oeste,41.69436205172154,41.11992896331135,41.05298945985169,41.72575636967929,46.191131901684805,44.38011006123968,42.60103320795958,43.7275766392955,44.79011157740575,41.64592796500624,41.07176763856519,41.2054452803183,42.26005183516294,41.806367229258164,40.17140547477568,41.12801219528359,40.18416244064049,40.3826236943361,3.546099290780142,39.125593419479486,Mato Grosso
Goiás (246 municípios),GO,Centro-Oeste,47.048093463996764,46.006647498525574,46.39167759793429,48.69103486205668,50.98287994932617,50.614151382773485,50.79217335433734,51.75120716029769,51.86506642087989,51.8830721691059,50.84924290089686,49.74385441022215,50.738772556501814,49.07464744264567,47.03790705040215,47.869967860038145,47.48665226506718,47.44550828784219,2.0325203252032518,40.2613632769165,Goiás
Distrito Federal (1 município),DF,Centro-Oeste,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100,Distrito Federal
