Region_Size,state_slugs,nº_cities,iniciatives_last_2_years,property_sale,privatization,concession,commom_concession,private_partnership,administrative_concession,sponsored_concession,culture_related,education,maintenance,sewer,health,funeral_services,transportation,others
Brasil,Brasil,5570.0,431,88,8,377,252,170,140,47,41,35,66,119,52,51,142,129
Norte,Norte,450.0,25,1,0,25,17,9,7,2,2,1,7,12,1,1,2,8
Rondônia,RO,52.0,5,0,0,5,4,1,1,0,0,0,1,3,0,0,1,1
Acre,AC,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,AM,62.0,3,0,0,3,2,1,1,0,0,0,3,2,0,0,0,0
Roraima,RR,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pará,PA,144.0,8,0,0,8,5,4,2,2,1,1,1,2,1,1,0,5
Amapá,AP,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocantins,TO,139.0,9,1,0,9,6,3,3,0,1,0,2,5,0,0,1,2
Nordeste,Nordeste,1794.0,83,10,0,76,36,42,40,4,6,5,14,29,11,4,20,26
Maranhão,MA,217.0,4,0,0,4,3,2,1,1,0,0,0,1,0,1,1,2
Piauí,PI,224.0,21,0,0,21,4,17,16,1,1,1,2,16,1,0,3,4
Ceará,CE,184.0,21,3,0,19,7,12,12,0,1,2,9,2,4,0,7,7
Rio Grande do Norte,RN,167.0,4,0,0,4,3,1,1,0,1,0,0,1,1,1,2,2
Paraíba,PB,223.0,4,2,0,2,2,1,1,1,1,0,1,2,1,1,0,0
Pernambuco,PE,185.0,9,2,0,7,5,2,2,0,1,0,0,3,0,0,1,3
Alagoas,AL,102.0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
Sergipe,SE,75.0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2
Bahia,BA,417.0,17,3,0,16,11,5,5,1,1,2,2,3,4,1,5,6
Sudeste,Sudeste,1668.0,149,32,3,130,103,42,33,14,12,5,20,32,21,15,69,38
Minas Gerais,MG,853.0,64,15,0,55,39,21,17,7,2,3,10,8,8,7,29,16
Espírito Santo,ES,78.0,9,1,0,8,6,3,2,1,1,0,1,1,1,0,1,4
Rio de Janeiro,RJ,92.0,9,1,0,9,7,4,4,1,2,0,1,2,0,0,2,3
São Paulo,SP,645.0,67,15,3,58,51,14,10,5,7,2,8,21,12,8,37,15
Sul,Sul,1191.0,117,23,3,103,65,51,40,19,17,20,18,33,17,20,32,39
Paraná,PR,399.0,41,7,1,34,20,14,11,4,2,0,3,8,2,9,16,19
Santa Catarina,SC,295.0,47,8,2,45,28,25,19,11,6,18,11,23,10,9,9,12
Rio Grande do Sul,RS,497.0,29,8,0,24,17,12,10,4,9,2,4,2,5,2,7,8
Centro-Oeste,Centro-Oeste,467.0,57,22,2,43,31,26,20,8,4,4,7,13,2,11,19,18
Mato Grosso do Sul,MS,79.0,8,2,0,6,4,2,1,1,0,0,1,4,0,0,2,2
Mato Grosso,MT,141.0,11,1,0,11,9,3,3,1,0,1,2,3,0,2,2,5
Goiás,GO,246.0,37,19,2,26,18,21,16,6,4,3,4,6,2,9,15,11
Distrito Federal,DF,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
