Region_Size,state_slugs,nº_cities,applied_incentives,iptu_reduction,iptu_exemption,issqn_reduction,issqn_exemption,fee_exemption,property_cession,property_donation,other_incentives,industrial,commerce_services,turism_sports_leisure,cropping_livestock,other_sectors,2018_industrial,2018_commerce_services,2018_turism_sports_leisure,2018_cropping_livestock,2018_other_sectors,no_sector
Brasil,Brasil,5570.0,3484,1022,1292,844,581,1404,1393,1185,858,2420,2299,728,870,616,1355,1498,310,489,365,1008
Norte,Norte,450.0,286,85,91,61,28,110,91,96,61,117,204,79,72,64,56,157,35,36,37,72
Rondônia,RO,52.0,38,9,20,5,3,15,13,11,8,24,21,8,9,9,12,16,5,4,4,9
Acre,AC,22.0,16,7,7,1,3,6,1,1,3,8,11,3,3,1,6,8,1,2,0,4
Amazonas,AM,62.0,36,10,16,12,3,11,10,17,3,6,29,13,8,7,2,22,6,4,8,7
Roraima,RR,15.0,8,1,2,2,0,6,2,0,2,2,4,2,2,4,1,4,1,1,2,2
Pará,PA,144.0,97,35,20,28,11,42,28,32,25,42,76,29,31,22,19,57,13,17,14,25
Amapá,AP,16.0,13,3,4,1,2,6,9,4,7,3,12,4,3,3,2,12,3,2,2,0
Tocantins,TO,139.0,78,20,22,12,6,24,28,31,13,32,51,20,16,18,14,38,6,6,7,25
Nordeste,Nordeste,1794.0,965,382,327,326,152,417,232,300,183,483,676,214,205,194,214,454,101,106,112,305
Maranhão,MA,217.0,90,36,24,27,8,34,14,25,34,30,65,20,23,25,16,58,13,21,20,11
Piauí,PI,224.0,108,23,21,32,15,49,25,21,15,34,93,15,11,14,11,49,7,6,6,46
Ceará,CE,184.0,109,31,52,36,24,51,29,37,31,79,59,24,22,25,34,34,10,14,10,42
Rio Grande do Norte,RN,167.0,98,39,23,47,12,38,24,27,18,50,61,24,21,18,25,34,12,7,13,32
Paraíba,PB,223.0,107,43,40,31,22,44,23,28,22,51,74,32,25,23,22,53,15,10,14,34
Pernambuco,PE,185.0,120,65,43,39,19,54,37,53,22,71,84,25,25,30,36,58,9,10,21,30
Alagoas,AL,102.0,60,29,20,20,6,23,11,25,9,26,47,16,14,12,13,33,10,8,3,16
Sergipe,SE,75.0,43,15,24,22,8,25,7,7,4,21,27,9,4,8,10,22,0,3,2,14
Bahia,BA,417.0,230,101,80,72,38,99,62,77,28,121,166,49,60,39,47,113,25,27,23,80
Sudeste,Sudeste,1668.0,963,246,403,219,198,373,379,300,213,748,609,188,191,174,443,377,76,91,117,277
Minas Gerais,MG,853.0,420,93,119,81,70,153,195,155,101,306,284,89,105,79,172,171,38,57,49,126
Espírito Santo,ES,78.0,48,15,16,29,4,23,12,9,6,37,36,17,16,9,19,22,7,8,10,13
Rio de Janeiro,RJ,92.0,76,22,38,26,16,31,28,6,16,55,46,9,9,16,29,36,5,4,13,20
São Paulo,SP,645.0,419,116,230,83,108,166,144,130,90,350,243,73,61,70,223,148,26,22,45,118
Sul,Sul,1191.0,942,198,356,137,127,368,546,308,334,830,578,183,320,136,526,379,82,225,76,233
Paraná,PR,399.0,309,55,116,33,45,113,199,87,97,270,183,52,74,53,170,139,23,42,33,80
Santa Catarina,SC,295.0,236,56,91,37,27,97,140,73,83,213,145,51,77,40,132,84,22,54,16,69
Rio Grande do Sul,RS,497.0,397,87,149,67,55,158,207,148,154,347,250,80,169,43,224,156,37,129,27,84
Centro-Oeste,Centro-Oeste,467.0,328,111,115,101,76,136,145,181,67,242,232,64,82,48,116,131,16,31,23,121
Mato Grosso do Sul,MS,79.0,71,29,33,32,17,30,36,51,13,59,54,15,26,4,24,34,1,8,2,26
Mato Grosso,MT,141.0,89,30,34,27,20,42,33,30,24,61,57,12,15,21,41,38,4,12,13,22
Goiás,GO,246.0,167,51,48,42,39,64,75,100,29,121,120,36,40,23,50,58,10,10,8,73
Distrito Federal,DF,1.0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
