Region_Size,state_slugs,nº_cities,applied_restrictions,legislation,taxation,other_mechanisms,industry,extractive_industry,commerce_services,turism_sports_leisure,environmental_impact_industries,other,2018_industry,2018_extractive_industry,2018_commerce_services,2018_turism_sports_leisure,2018_environmental_impact_industries,2018_other,2018_no_enterprise
Brasil,Brasil,5570.0,1727,1521,327,183,806,614,679,262,1357,221,348,215,409,93,646,127,807
Norte,Norte,450.0,127,105,43,19,49,37,66,26,86,17,19,19,47,9,57,15,40
Rondônia,RO,52.0,10,7,1,3,5,4,3,2,10,1,3,2,2,1,4,1,4
Acre,AC,22.0,8,8,2,1,5,2,4,2,6,0,3,1,4,1,3,1,2
Amazonas,AM,62.0,12,11,4,0,3,3,5,2,12,0,2,2,4,1,10,1,2
Roraima,RR,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pará,PA,144.0,61,49,22,10,21,15,30,9,38,10,6,8,23,4,28,9,19
Amapá,AP,16.0,7,6,4,2,2,2,6,2,5,1,3,2,5,0,6,2,0
Tocantins,TO,139.0,29,24,10,3,13,11,18,9,15,5,2,4,9,2,6,1,13
Nordeste,Nordeste,1794.0,458,369,133,55,164,155,179,67,361,44,60,58,111,27,159,28,223
Maranhão,MA,217.0,46,33,20,10,14,15,18,5,35,6,6,7,13,2,19,4,20
Piauí,PI,224.0,52,47,9,2,13,16,24,7,39,6,1,3,16,3,13,1,26
Ceará,CE,184.0,55,49,15,7,30,17,27,12,46,4,14,11,15,6,24,2,23
Rio Grande do Norte,RN,167.0,33,22,10,5,14,10,15,6,18,5,4,2,5,1,6,4,20
Paraíba,PB,223.0,40,27,9,9,11,13,13,4,33,6,3,6,9,3,10,0,24
Pernambuco,PE,185.0,55,42,18,9,22,25,24,13,43,9,12,9,14,5,14,10,28
Alagoas,AL,102.0,20,14,6,3,7,3,3,2,14,2,3,1,2,0,3,2,13
Sergipe,SE,75.0,14,12,3,1,5,6,5,0,9,2,2,1,3,0,5,0,8
Bahia,BA,417.0,143,123,43,9,48,50,50,18,124,4,15,18,34,7,65,5,61
Sudeste,Sudeste,1668.0,545,485,70,64,275,221,210,87,426,86,126,74,122,28,208,46,249
Minas Gerais,MG,853.0,224,185,42,35,89,89,81,36,176,30,31,33,44,9,84,14,108
Espírito Santo,ES,78.0,34,31,2,3,21,24,14,4,29,3,14,10,9,2,15,2,17
Rio de Janeiro,RJ,92.0,51,50,5,4,28,23,15,5,41,6,13,9,7,1,27,3,19
São Paulo,SP,645.0,236,219,21,22,137,85,100,42,180,47,68,22,62,16,82,27,105
Sul,Sul,1191.0,476,453,63,33,275,172,190,68,388,65,126,54,109,23,179,34,228
Paraná,PR,399.0,198,187,34,15,124,85,78,25,155,23,48,26,45,10,52,11,114
Santa Catarina,SC,295.0,104,101,11,10,66,45,46,15,88,21,36,15,31,6,44,10,41
Rio Grande do Sul,RS,497.0,174,165,18,8,85,42,66,28,145,21,42,13,33,7,83,13,73
Centro-Oeste,Centro-Oeste,467.0,121,109,18,12,43,29,34,14,96,9,17,10,20,6,43,4,67
Mato Grosso do Sul,MS,79.0,27,26,2,4,14,10,10,4,18,4,5,3,5,1,6,1,18
Mato Grosso,MT,141.0,33,30,7,1,12,5,9,3,24,2,3,1,5,1,12,2,18
Goiás,GO,246.0,61,53,9,7,17,14,15,7,54,3,9,6,10,4,25,1,31
Distrito Federal,DF,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
